Time,Temperature,Humidity,Sound_Level,Light_Level
4/1/23 0:00,18,10,20,200
4/1/23 0:05,18.1,10.2,20.5,201
4/1/23 0:10,18.2,10.4,21,202
4/1/23 0:15,18.3,10.6,21.5,203
4/1/23 0:20,18.4,10.8,22,204
4/1/23 0:25,18.5,11,22.5,205
4/1/23 0:30,18.6,11.2,23,206
4/1/23 0:35,18.7,11.4,23.5,207
4/1/23 0:40,18.8,11.6,24,208
4/1/23 0:45,18.9,11.8,24.5,209
4/1/23 0:50,19,12,25,210
4/1/23 0:55,19.1,12.2,25.5,211
4/1/23 1:00,19.2,12.4,26,212
4/1/23 1:05,19.3,12.6,26.5,213
4/1/23 1:10,19.4,12.8,27,214
4/1/23 1:15,19.5,13,27.5,215
4/1/23 1:20,19.6,13.2,28,216
4/1/23 1:25,19.7,13.4,28.5,217
4/1/23 1:30,19.8,13.6,29,218
4/1/23 1:35,19.9,13.8,29.5,219
4/1/23 1:40,20,14,30,220
4/1/23 1:45,20.1,14.2,30.5,221
4/1/23 1:50,20.2,14.4,31,222
4/1/23 1:55,20.3,14.6,31.5,223
4/1/23 2:00,20.4,14.8,32,224
4/1/23 2:05,20.5,15,32.5,225
4/1/23 2:10,20.6,15.2,33,226
4/1/23 2:15,20.7,15.4,33.5,227
4/1/23 2:20,20.8,15.6,34,228
4/1/23 2:25,20.9,15.8,34.5,229
4/1/23 2:30,21,16,35,230
4/1/23 2:35,21.1,16.2,35.5,231
4/1/23 2:40,21.2,16.4,36,232
4/1/23 2:45,21.3,16.6,36.5,233
4/1/23 2:50,21.4,16.8,37,234
4/1/23 2:55,21.5,17,37.5,235
4/1/23 3:00,21.6,17.2,38,236
4/1/23 3:05,21.7,17.4,38.5,237
4/1/23 3:10,21.8,17.6,39,238
4/1/23 3:15,21.9,17.8,39.5,239
4/1/23 3:20,22,18,40,240
4/1/23 3:25,22.1,18.2,40.5,241
4/1/23 3:30,22.2,18.4,41,242
4/1/23 3:35,22.3,18.6,41.5,243
4/1/23 3:40,22.4,18.8,42,244
4/1/23 3:45,22.5,19,42.5,245
4/1/23 3:50,22.6,19.2,43,246
4/1/23 3:55,22.7,19.4,43.5,247
4/1/23 4:00,22.8,19.6,44,248
4/1/23 4:05,22.9,19.8,44.5,249
4/1/23 4:10,23,20,45,250
4/1/23 4:15,23.1,20.2,45.5,251
4/1/23 4:20,23.2,20.4,46,252
4/1/23 4:25,23.3,20.6,46.5,253
4/1/23 4:30,23.4,20.8,47,254
4/1/23 4:35,23.5,21,47.5,255
4/1/23 4:40,23.6,21.2,48,256
4/1/23 4:45,23.7,21.4,48.5,257
4/1/23 4:50,23.8,21.6,49,258
4/1/23 4:55,23.9,21.8,49.5,259
4/1/23 5:00,24,22,50,260
4/1/23 5:05,24.1,22.2,50.5,261
4/1/23 5:10,24.2,22.4,51,262
4/1/23 5:15,24.3,22.6,51.5,263
4/1/23 5:20,24.4,22.8,52,264
4/1/23 5:25,24.5,23,52.5,265
4/1/23 5:30,24.6,23.2,53,266
4/1/23 5:35,24.7,23.4,53.5,267
4/1/23 5:40,24.8,23.6,54,268
4/1/23 5:45,24.9,23.8,54.5,269
4/1/23 5:50,25,24,55,270
4/1/23 5:55,25.1,24.2,55.5,271
4/1/23 6:00,25.2,24.4,56,272
4/1/23 6:05,25.3,24.6,56.5,273
4/1/23 6:10,25.4,24.8,57,274
4/1/23 6:15,25.5,25,57.5,275
4/1/23 6:20,25.6,25.2,58,276
4/1/23 6:25,25.7,25.4,58.5,277
4/1/23 6:30,25.8,25.6,59,278
4/1/23 6:35,25.9,25.8,59.5,279
4/1/23 6:40,26,26,60,280
4/1/23 6:45,26.1,26.2,60.5,281
4/1/23 6:50,26.2,26.4,61,282
4/1/23 6:55,26.3,26.6,61.5,283
4/1/23 7:00,26.4,26.8,62,284
4/1/23 7:05,26.5,27,62.5,285
4/1/23 7:10,26.6,27.2,63,286
4/1/23 7:15,26.7,27.4,63.5,287
4/1/23 7:20,26.8,27.6,64,288
4/1/23 7:25,26.9,27.8,64.5,289
4/1/23 7:30,27,28,65,290
4/1/23 7:35,27.1,28.2,65.5,291
4/1/23 7:40,27.2,28.4,66,292
4/1/23 7:45,27.3,28.6,66.5,293
4/1/23 7:50,27.4,28.8,67,294
4/1/23 7:55,27.5,29,67.5,295
4/1/23 8:00,27.6,29.2,68,296
4/1/23 8:05,27.7,29.4,68.5,297
4/1/23 8:10,27.8,29.6,69,298
4/1/23 8:15,27.9,29.8,69.5,299
4/1/23 8:20,28,30,70,300
4/1/23 8:25,28.1,30.2,69.5,301
4/1/23 8:30,28.2,30.4,69,302
4/1/23 8:35,28.3,30.6,68.5,303
4/1/23 8:40,28.4,30.8,68,304
4/1/23 8:45,28.5,31,67.5,305
4/1/23 8:50,28.6,31.2,67,306
4/1/23 8:55,28.7,31.4,66.5,307
4/1/23 9:00,28.8,31.6,66,308
4/1/23 9:05,28.9,31.8,65.5,309
4/1/23 9:10,29,32,65,310
4/1/23 9:15,29.1,32.2,64.5,311
4/1/23 9:20,29.2,32.4,64,312
4/1/23 9:25,29.3,32.6,63.5,313
4/1/23 9:30,29.4,32.8,63,314
4/1/23 9:35,29.5,33,62.5,315
4/1/23 9:40,29.6,33.2,62,316
4/1/23 9:45,29.7,33.4,61.5,317
4/1/23 9:50,29.8,33.6,61,318
4/1/23 9:55,29.9,33.8,60.5,319
4/1/23 10:00,30,34,60,320
4/1/23 10:05,29.9,34.2,59.5,321
4/1/23 10:10,29.8,34.4,59,322
4/1/23 10:15,29.7,34.6,58.5,323
4/1/23 10:20,29.6,34.8,58,324
4/1/23 10:25,29.5,35,57.5,325
4/1/23 10:30,29.4,35.2,57,326
4/1/23 10:35,29.3,35.4,56.5,327
4/1/23 10:40,29.2,35.6,56,328
4/1/23 10:45,29.1,35.8,55.5,329
4/1/23 10:50,29,36,55,330
4/1/23 10:55,28.9,36.2,54.5,331
4/1/23 11:00,28.8,36.4,54,332
4/1/23 11:05,28.7,36.6,53.5,333
4/1/23 11:10,28.6,36.8,53,334
4/1/23 11:15,28.5,37,52.5,335
4/1/23 11:20,28.4,37.2,52,336
4/1/23 11:25,28.3,37.4,51.5,337
4/1/23 11:30,28.2,37.6,51,338
4/1/23 11:35,28.1,37.8,50.5,339
4/1/23 11:40,28,38,50,340
4/1/23 11:45,27.9,38.2,49.5,341
4/1/23 11:50,27.8,38.4,49,342
4/1/23 11:55,27.7,38.6,48.5,343
4/1/23 12:00,27.6,38.8,48,344
4/1/23 12:05,27.5,39,47.5,345
4/1/23 12:10,27.4,39.2,47,346
4/1/23 12:15,27.3,39.4,46.5,347
4/1/23 12:20,27.2,39.6,46,348
4/1/23 12:25,27.1,39.8,45.5,349
4/1/23 12:30,27,40,45,350
4/1/23 12:35,26.9,40.2,44.5,351
4/1/23 12:40,26.8,40.4,44,352
4/1/23 12:45,26.7,40.6,43.5,353
4/1/23 12:50,26.6,40.8,43,354
4/1/23 12:55,26.5,41,42.5,355
4/1/23 13:00,26.4,41.2,42,356
